datetime,num_orders,day_of_week,hour,lag_2,lag_4,lag_6,lag_8,lag_10,lag_12,rolling_mean
2018-03-01 12:00:00,30,3,12,64.0,34.0,12.0,43.0,71.0,124.0,55.6
2018-03-01 13:00:00,32,3,13,96.0,69.0,15.0,6.0,66.0,85.0,58.6
2018-03-01 14:00:00,48,3,14,30.0,64.0,34.0,12.0,43.0,71.0,58.2
2018-03-01 15:00:00,66,3,15,32.0,96.0,69.0,15.0,6.0,66.0,54.0
2018-03-01 16:00:00,43,3,16,48.0,30.0,64.0,34.0,12.0,43.0,54.4
2018-03-01 17:00:00,44,3,17,66.0,32.0,96.0,69.0,15.0,6.0,43.8
2018-03-01 18:00:00,73,3,18,43.0,48.0,30.0,64.0,34.0,12.0,46.6
2018-03-01 19:00:00,45,3,19,44.0,66.0,32.0,96.0,69.0,15.0,54.8
2018-03-01 20:00:00,61,3,20,73.0,43.0,48.0,30.0,64.0,34.0,54.2
2018-03-01 21:00:00,66,3,21,45.0,44.0,66.0,32.0,96.0,69.0,53.2
2018-03-01 22:00:00,113,3,22,61.0,73.0,43.0,48.0,30.0,64.0,57.8
2018-03-01 23:00:00,58,3,23,66.0,45.0,44.0,66.0,32.0,96.0,71.6
2018-03-02 00:00:00,90,4,0,113.0,61.0,73.0,43.0,48.0,30.0,68.6
2018-03-02 01:00:00,120,4,1,58.0,66.0,45.0,44.0,66.0,32.0,77.6
2018-03-02 02:00:00,75,4,2,90.0,113.0,61.0,73.0,43.0,48.0,89.4
2018-03-02 03:00:00,64,4,3,120.0,58.0,66.0,45.0,44.0,66.0,91.2
2018-03-02 04:00:00,20,4,4,75.0,90.0,113.0,61.0,73.0,43.0,81.4
2018-03-02 05:00:00,11,4,5,64.0,120.0,58.0,66.0,45.0,44.0,73.8
2018-03-02 06:00:00,11,4,6,20.0,75.0,90.0,113.0,61.0,73.0,58.0
2018-03-02 07:00:00,7,4,7,11.0,64.0,120.0,58.0,66.0,45.0,36.2
2018-03-02 08:00:00,46,4,8,11.0,20.0,75.0,90.0,113.0,61.0,22.6
2018-03-02 09:00:00,45,4,9,7.0,11.0,64.0,120.0,58.0,66.0,19.0
2018-03-02 10:00:00,54,4,10,46.0,11.0,20.0,75.0,90.0,113.0,24.0
2018-03-02 11:00:00,91,4,11,45.0,7.0,11.0,64.0,120.0,58.0,32.6
2018-03-02 12:00:00,36,4,12,54.0,46.0,11.0,20.0,75.0,90.0,48.6
2018-03-02 13:00:00,45,4,13,91.0,45.0,7.0,11.0,64.0,120.0,54.4
2018-03-02 14:00:00,44,4,14,36.0,54.0,46.0,11.0,20.0,75.0,54.2
2018-03-02 15:00:00,59,4,15,45.0,91.0,45.0,7.0,11.0,64.0,54.0
2018-03-02 16:00:00,82,4,16,44.0,36.0,54.0,46.0,11.0,20.0,55.0
2018-03-02 17:00:00,83,4,17,59.0,45.0,91.0,45.0,7.0,11.0,53.2
2018-03-02 18:00:00,89,4,18,82.0,44.0,36.0,54.0,46.0,11.0,62.6
2018-03-02 19:00:00,49,4,19,83.0,59.0,45.0,91.0,45.0,7.0,71.4
2018-03-02 20:00:00,93,4,20,89.0,82.0,44.0,36.0,54.0,46.0,72.4
2018-03-02 21:00:00,101,4,21,49.0,83.0,59.0,45.0,91.0,45.0,79.2
2018-03-02 22:00:00,119,4,22,93.0,89.0,82.0,44.0,36.0,54.0,83.0
2018-03-02 23:00:00,72,4,23,101.0,49.0,83.0,59.0,45.0,91.0,90.2
2018-03-03 00:00:00,163,5,0,119.0,93.0,89.0,82.0,44.0,36.0,86.8
2018-03-03 01:00:00,108,5,1,72.0,101.0,49.0,83.0,59.0,45.0,109.6
2018-03-03 02:00:00,25,5,2,163.0,119.0,93.0,89.0,82.0,44.0,112.6
2018-03-03 03:00:00,64,5,3,108.0,72.0,101.0,49.0,83.0,59.0,97.4
2018-03-03 04:00:00,44,5,4,25.0,163.0,119.0,93.0,89.0,82.0,86.4
2018-03-03 05:00:00,15,5,5,64.0,108.0,72.0,101.0,49.0,83.0,80.8
2018-03-03 06:00:00,9,5,6,44.0,25.0,163.0,119.0,93.0,89.0,51.2
2018-03-03 07:00:00,17,5,7,15.0,64.0,108.0,72.0,101.0,49.0,31.4
2018-03-03 08:00:00,56,5,8,9.0,44.0,25.0,163.0,119.0,93.0,29.8
2018-03-03 09:00:00,73,5,9,17.0,15.0,64.0,108.0,72.0,101.0,28.2
2018-03-03 10:00:00,52,5,10,56.0,9.0,44.0,25.0,163.0,119.0,34.0
2018-03-03 11:00:00,57,5,11,73.0,17.0,15.0,64.0,108.0,72.0,41.4
2018-03-03 12:00:00,32,5,12,52.0,56.0,9.0,44.0,25.0,163.0,51.0
2018-03-03 13:00:00,28,5,13,57.0,73.0,17.0,15.0,64.0,108.0,54.0
2018-03-03 14:00:00,41,5,14,32.0,52.0,56.0,9.0,44.0,25.0,48.4
